service_id,date,exception_type
L16A1_L16A1,20260505,1
L16A1_L16A1,20260506,1
L16A1_L16A1,20260507,1
L16A1_L16A1,20260508,1
L16A1_L16A1,20260511,1
L16A1_L16A1,20260512,1
L16A1_L16A1,20260514,1
L16A1_L16A1,20260515,1
L16A1_L16A1,20260518,1
L16A1_L16A1,20260519,1
L16A1_L16A1,20260520,1
L16A1_L16A1,20260521,1
L16A1_L16A1,20260522,1
L16A1_L16A1,20260525,1
L16A1_L16A1,20260526,1
L16A1_L16A1,20260527,1
L16A1_L16A1,20260528,1
L16A1_L16A1,20260529,1
L16A1_L16A1,20260601,1
L16A1_L16A1,20260602,1
L16A1_L16A1,20260603,1
L16A1_L16A1,20260604,1
L16A1_L16A1,20260605,1
L16A1_L16A1,20260608,1
L16A1_L16A1,20260609,1
L16A1_L16A1,20260610,1
L16A1_L16A1,20260611,1
L16A1_L16A1,20260612,1
L16A1_L16A1,20260615,1
L16A1_L16A1,20260616,1
L16A1_L16A1,20260617,1
L16A1_L16A1,20260618,1
L16A1_L16A1,20260619,1
L16B1_L16A1,20260321,1
L16B1_L16A1,20260328,1
L16B1_L16A1,20260404,1
L16B1_L16A1,20260411,1
L16B1_L16A1,20260418,1
L16B1_L16A1,20260425,1
L16B1_L16A1,20260502,1
L16B1_L16A1,20260509,1
L16B1_L16A1,20260516,1
L16B1_L16A1,20260523,1
L16B1_L16A1,20260530,1
L16B1_L16A1,20260606,1
L16B1_L16A1,20260613,1
L16B1_L16A1,20260620,1
L18A1_L18A1,20260322,1
L18A1_L18A1,20260329,1
L18A1_L18A1,20260402,1
L18A1_L18A1,20260403,1
L18A1_L18A1,20260405,1
L18A1_L18A1,20260412,1
L18A1_L18A1,20260419,1
L18A1_L18A1,20260423,1
L18A1_L18A1,20260426,1
L18A1_L18A1,20260501,1
L18A1_L18A1,20260503,1
L18A1_L18A1,20260510,1
L18A1_L18A1,20260513,1
L18A1_L18A1,20260517,1
L18A1_L18A1,20260524,1
L18A1_L18A1,20260531,1
L18A1_L18A1,20260607,1
L18A1_L18A1,20260614,1
L18A1_L18A1,20260621,1
L18A6_L18A1,20260318,1
L18A6_L18A2,20260318,1
L18A6_L18A3,20260318,1
L18A6_L18A4,20260318,1
L18A6_L18A5,20260318,1
L18A6_L18A6,20260318,1
L18A6_L18A1,20260319,1
L18A6_L18A2,20260319,1
L18A6_L18A3,20260319,1
L18A6_L18A4,20260319,1
L18A6_L18A5,20260319,1
L18A6_L18A6,20260319,1
L18A6_L18A1,20260320,1
L18A6_L18A2,20260320,1
L18A6_L18A3,20260320,1
L18A6_L18A4,20260320,1
L18A6_L18A5,20260320,1
L18A6_L18A6,20260320,1
L18A6_L18A1,20260323,1
L18A6_L18A2,20260323,1
L18A6_L18A3,20260323,1
L18A6_L18A4,20260323,1
L18A6_L18A5,20260323,1
L18A6_L18A6,20260323,1
L18A6_L18A1,20260324,1
L18A6_L18A2,20260324,1
L18A6_L18A3,20260324,1
L18A6_L18A4,20260324,1
L18A6_L18A5,20260324,1
L18A6_L18A6,20260324,1
L18A6_L18A1,20260325,1
L18A6_L18A2,20260325,1
L18A6_L18A3,20260325,1
L18A6_L18A4,20260325,1
L18A6_L18A5,20260325,1
L18A6_L18A6,20260325,1
L18A6_L18A1,20260326,1
L18A6_L18A2,20260326,1
L18A6_L18A3,20260326,1
L18A6_L18A4,20260326,1
L18A6_L18A5,20260326,1
L18A6_L18A6,20260326,1
L18A6_L18A1,20260327,1
L18A6_L18A2,20260327,1
L18A6_L18A3,20260327,1
L18A6_L18A4,20260327,1
L18A6_L18A5,20260327,1
L18A6_L18A6,20260327,1
L18A6_L18A1,20260330,1
L18A6_L18A2,20260330,1
L18A6_L18A3,20260330,1
L18A6_L18A4,20260330,1
L18A6_L18A5,20260330,1
L18A6_L18A6,20260330,1
L18A6_L18A1,20260331,1
L18A6_L18A2,20260331,1
L18A6_L18A3,20260331,1
L18A6_L18A4,20260331,1
L18A6_L18A5,20260331,1
L18A6_L18A6,20260331,1
L18A6_L18A1,20260401,1
L18A6_L18A2,20260401,1
L18A6_L18A3,20260401,1
L18A6_L18A4,20260401,1
L18A6_L18A5,20260401,1
L18A6_L18A6,20260401,1
L18A6_L18A1,20260406,1
L18A6_L18A2,20260406,1
L18A6_L18A3,20260406,1
L18A6_L18A4,20260406,1
L18A6_L18A5,20260406,1
L18A6_L18A6,20260406,1
L18A6_L18A1,20260407,1
L18A6_L18A2,20260407,1
L18A6_L18A3,20260407,1
L18A6_L18A4,20260407,1
L18A6_L18A5,20260407,1
L18A6_L18A6,20260407,1
L18A6_L18A1,20260408,1
L18A6_L18A2,20260408,1
L18A6_L18A3,20260408,1
L18A6_L18A4,20260408,1
L18A6_L18A5,20260408,1
L18A6_L18A6,20260408,1
L18A6_L18A1,20260409,1
L18A6_L18A2,20260409,1
L18A6_L18A3,20260409,1
L18A6_L18A4,20260409,1
L18A6_L18A5,20260409,1
L18A6_L18A6,20260409,1
L18A6_L18A1,20260410,1
L18A6_L18A2,20260410,1
L18A6_L18A3,20260410,1
L18A6_L18A4,20260410,1
L18A6_L18A5,20260410,1
L18A6_L18A6,20260410,1
L18A6_L18A1,20260413,1
L18A6_L18A2,20260413,1
L18A6_L18A3,20260413,1
L18A6_L18A4,20260413,1
L18A6_L18A5,20260413,1
L18A6_L18A6,20260413,1
L18A6_L18A1,20260414,1
L18A6_L18A2,20260414,1
L18A6_L18A3,20260414,1
L18A6_L18A4,20260414,1
L18A6_L18A5,20260414,1
L18A6_L18A6,20260414,1
L18A6_L18A1,20260415,1
L18A6_L18A2,20260415,1
L18A6_L18A3,20260415,1
L18A6_L18A4,20260415,1
L18A6_L18A5,20260415,1
L18A6_L18A6,20260415,1
L18A6_L18A1,20260416,1
L18A6_L18A2,20260416,1
L18A6_L18A3,20260416,1
L18A6_L18A4,20260416,1
L18A6_L18A5,20260416,1
L18A6_L18A6,20260416,1
L18A6_L18A1,20260417,1
L18A6_L18A2,20260417,1
L18A6_L18A3,20260417,1
L18A6_L18A4,20260417,1
L18A6_L18A5,20260417,1
L18A6_L18A6,20260417,1
L18A6_L18A1,20260420,1
L18A6_L18A2,20260420,1
L18A6_L18A3,20260420,1
L18A6_L18A4,20260420,1
L18A6_L18A5,20260420,1
L18A6_L18A6,20260420,1
L18A6_L18A1,20260421,1
L18A6_L18A2,20260421,1
L18A6_L18A3,20260421,1
L18A6_L18A4,20260421,1
L18A6_L18A5,20260421,1
L18A6_L18A6,20260421,1
L18A6_L18A1,20260422,1
L18A6_L18A2,20260422,1
L18A6_L18A3,20260422,1
L18A6_L18A4,20260422,1
L18A6_L18A5,20260422,1
L18A6_L18A6,20260422,1
L18A6_L18A1,20260424,1
L18A6_L18A2,20260424,1
L18A6_L18A3,20260424,1
L18A6_L18A4,20260424,1
L18A6_L18A5,20260424,1
L18A6_L18A6,20260424,1
L18A6_L18A1,20260427,1
L18A6_L18A2,20260427,1
L18A6_L18A3,20260427,1
L18A6_L18A4,20260427,1
L18A6_L18A5,20260427,1
L18A6_L18A6,20260427,1
L18A6_L18A1,20260428,1
L18A6_L18A2,20260428,1
L18A6_L18A3,20260428,1
L18A6_L18A4,20260428,1
L18A6_L18A5,20260428,1
L18A6_L18A6,20260428,1
L18A6_L18A1,20260429,1
L18A6_L18A2,20260429,1
L18A6_L18A3,20260429,1
L18A6_L18A4,20260429,1
L18A6_L18A5,20260429,1
L18A6_L18A6,20260429,1
L18A6_L18A1,20260430,1
L18A6_L18A2,20260430,1
L18A6_L18A3,20260430,1
L18A6_L18A4,20260430,1
L18A6_L18A5,20260430,1
L18A6_L18A6,20260430,1
L18A6_L18A1,20260504,1
L18A6_L18A2,20260504,1
L18A6_L18A3,20260504,1
L18A6_L18A4,20260504,1
L18A6_L18A5,20260504,1
L18A6_L18A6,20260504,1
L18A6_L18A1,20260505,1
L18A6_L18A2,20260505,1
L18A6_L18A3,20260505,1
L18A6_L18A4,20260505,1
L18A6_L18A5,20260505,1
L18A6_L18A6,20260505,1
L18A6_L18A1,20260506,1
L18A6_L18A2,20260506,1
L18A6_L18A3,20260506,1
L18A6_L18A4,20260506,1
L18A6_L18A5,20260506,1
L18A6_L18A6,20260506,1
L18A6_L18A1,20260507,1
L18A6_L18A2,20260507,1
L18A6_L18A3,20260507,1
L18A6_L18A4,20260507,1
L18A6_L18A5,20260507,1
L18A6_L18A6,20260507,1
L18A6_L18A1,20260508,1
L18A6_L18A2,20260508,1
L18A6_L18A3,20260508,1
L18A6_L18A4,20260508,1
L18A6_L18A5,20260508,1
L18A6_L18A6,20260508,1
L18A6_L18A1,20260511,1
L18A6_L18A2,20260511,1
L18A6_L18A3,20260511,1
L18A6_L18A4,20260511,1
L18A6_L18A5,20260511,1
L18A6_L18A6,20260511,1
L18A6_L18A1,20260512,1
L18A6_L18A2,20260512,1
L18A6_L18A3,20260512,1
L18A6_L18A4,20260512,1
L18A6_L18A5,20260512,1
L18A6_L18A6,20260512,1
L18A6_L18A1,20260514,1
L18A6_L18A2,20260514,1
L18A6_L18A3,20260514,1
L18A6_L18A4,20260514,1
L18A6_L18A5,20260514,1
L18A6_L18A6,20260514,1
L18A6_L18A1,20260515,1
L18A6_L18A2,20260515,1
L18A6_L18A3,20260515,1
L18A6_L18A4,20260515,1
L18A6_L18A5,20260515,1
L18A6_L18A6,20260515,1
L18A6_L18A1,20260518,1
L18A6_L18A2,20260518,1
L18A6_L18A3,20260518,1
L18A6_L18A4,20260518,1
L18A6_L18A5,20260518,1
L18A6_L18A6,20260518,1
L18A6_L18A1,20260519,1
L18A6_L18A2,20260519,1
L18A6_L18A3,20260519,1
L18A6_L18A4,20260519,1
L18A6_L18A5,20260519,1
L18A6_L18A6,20260519,1
L18A6_L18A1,20260520,1
L18A6_L18A2,20260520,1
L18A6_L18A3,20260520,1
L18A6_L18A4,20260520,1
L18A6_L18A5,20260520,1
L18A6_L18A6,20260520,1
L18A6_L18A1,20260521,1
L18A6_L18A2,20260521,1
L18A6_L18A3,20260521,1
L18A6_L18A4,20260521,1
L18A6_L18A5,20260521,1
L18A6_L18A6,20260521,1
L18A6_L18A1,20260522,1
L18A6_L18A2,20260522,1
L18A6_L18A3,20260522,1
L18A6_L18A4,20260522,1
L18A6_L18A5,20260522,1
L18A6_L18A6,20260522,1
L18A6_L18A1,20260525,1
L18A6_L18A2,20260525,1
L18A6_L18A3,20260525,1
L18A6_L18A4,20260525,1
L18A6_L18A5,20260525,1
L18A6_L18A6,20260525,1
L18A6_L18A1,20260526,1
L18A6_L18A2,20260526,1
L18A6_L18A3,20260526,1
L18A6_L18A4,20260526,1
L18A6_L18A5,20260526,1
L18A6_L18A6,20260526,1
L18A6_L18A1,20260527,1
L18A6_L18A2,20260527,1
L18A6_L18A3,20260527,1
L18A6_L18A4,20260527,1
L18A6_L18A5,20260527,1
L18A6_L18A6,20260527,1
L18A6_L18A1,20260528,1
L18A6_L18A2,20260528,1
L18A6_L18A3,20260528,1
L18A6_L18A4,20260528,1
L18A6_L18A5,20260528,1
L18A6_L18A6,20260528,1
L18A6_L18A1,20260529,1
L18A6_L18A2,20260529,1
L18A6_L18A3,20260529,1
L18A6_L18A4,20260529,1
L18A6_L18A5,20260529,1
L18A6_L18A6,20260529,1
L18A6_L18A1,20260601,1
L18A6_L18A2,20260601,1
L18A6_L18A3,20260601,1
L18A6_L18A4,20260601,1
L18A6_L18A5,20260601,1
L18A6_L18A6,20260601,1
L18A6_L18A1,20260602,1
L18A6_L18A2,20260602,1
L18A6_L18A3,20260602,1
L18A6_L18A4,20260602,1
L18A6_L18A5,20260602,1
L18A6_L18A6,20260602,1
L18A6_L18A1,20260603,1
L18A6_L18A2,20260603,1
L18A6_L18A3,20260603,1
L18A6_L18A4,20260603,1
L18A6_L18A5,20260603,1
L18A6_L18A6,20260603,1
L18A6_L18A1,20260604,1
L18A6_L18A2,20260604,1
L18A6_L18A3,20260604,1
L18A6_L18A4,20260604,1
L18A6_L18A5,20260604,1
L18A6_L18A6,20260604,1
L18A6_L18A1,20260605,1
L18A6_L18A2,20260605,1
L18A6_L18A3,20260605,1
L18A6_L18A4,20260605,1
L18A6_L18A5,20260605,1
L18A6_L18A6,20260605,1
L18A6_L18A1,20260608,1
L18A6_L18A2,20260608,1
L18A6_L18A3,20260608,1
L18A6_L18A4,20260608,1
L18A6_L18A5,20260608,1
L18A6_L18A6,20260608,1
L18A6_L18A1,20260609,1
L18A6_L18A2,20260609,1
L18A6_L18A3,20260609,1
L18A6_L18A4,20260609,1
L18A6_L18A5,20260609,1
L18A6_L18A6,20260609,1
L18A6_L18A1,20260610,1
L18A6_L18A2,20260610,1
L18A6_L18A3,20260610,1
L18A6_L18A4,20260610,1
L18A6_L18A5,20260610,1
L18A6_L18A6,20260610,1
L18A6_L18A1,20260611,1
L18A6_L18A2,20260611,1
L18A6_L18A3,20260611,1
L18A6_L18A4,20260611,1
L18A6_L18A5,20260611,1
L18A6_L18A6,20260611,1
L18A6_L18A1,20260612,1
L18A6_L18A2,20260612,1
L18A6_L18A3,20260612,1
L18A6_L18A4,20260612,1
L18A6_L18A5,20260612,1
L18A6_L18A6,20260612,1
L18A6_L18A1,20260615,1
L18A6_L18A2,20260615,1
L18A6_L18A3,20260615,1
L18A6_L18A4,20260615,1
L18A6_L18A5,20260615,1
L18A6_L18A6,20260615,1
L18A6_L18A1,20260616,1
L18A6_L18A2,20260616,1
L18A6_L18A3,20260616,1
L18A6_L18A4,20260616,1
L18A6_L18A5,20260616,1
L18A6_L18A6,20260616,1
L18A6_L18A1,20260617,1
L18A6_L18A2,20260617,1
L18A6_L18A3,20260617,1
L18A6_L18A4,20260617,1
L18A6_L18A5,20260617,1
L18A6_L18A6,20260617,1
L18A6_L18A1,20260618,1
L18A6_L18A2,20260618,1
L18A6_L18A3,20260618,1
L18A6_L18A4,20260618,1
L18A6_L18A5,20260618,1
L18A6_L18A6,20260618,1
L18A6_L18A1,20260619,1
L18A6_L18A2,20260619,1
L18A6_L18A3,20260619,1
L18A6_L18A4,20260619,1
L18A6_L18A5,20260619,1
L18A6_L18A6,20260619,1
L18A6S_L18A1,20260321,1
L18A6S_L18A2,20260321,1
L18A6S_L18A3,20260321,1
L18A6S_L18A4,20260321,1
L18A6S_L18A5,20260321,1
L18A6S_L18A6,20260321,1
L18A6S_L18A1,20260328,1
L18A6S_L18A2,20260328,1
L18A6S_L18A3,20260328,1
L18A6S_L18A4,20260328,1
L18A6S_L18A5,20260328,1
L18A6S_L18A6,20260328,1
L18A6S_L18A1,20260404,1
L18A6S_L18A2,20260404,1
L18A6S_L18A3,20260404,1
L18A6S_L18A4,20260404,1
L18A6S_L18A5,20260404,1
L18A6S_L18A6,20260404,1
L18A6S_L18A1,20260411,1
L18A6S_L18A2,20260411,1
L18A6S_L18A3,20260411,1
L18A6S_L18A4,20260411,1
L18A6S_L18A5,20260411,1
L18A6S_L18A6,20260411,1
L18A6S_L18A1,20260418,1
L18A6S_L18A2,20260418,1
L18A6S_L18A3,20260418,1
L18A6S_L18A4,20260418,1
L18A6S_L18A5,20260418,1
L18A6S_L18A6,20260418,1
L18A6S_L18A1,20260425,1
L18A6S_L18A2,20260425,1
L18A6S_L18A3,20260425,1
L18A6S_L18A4,20260425,1
L18A6S_L18A5,20260425,1
L18A6S_L18A6,20260425,1
L18A6S_L18A1,20260502,1
L18A6S_L18A2,20260502,1
L18A6S_L18A3,20260502,1
L18A6S_L18A4,20260502,1
L18A6S_L18A5,20260502,1
L18A6S_L18A6,20260502,1
L18A6S_L18A1,20260509,1
L18A6S_L18A2,20260509,1
L18A6S_L18A3,20260509,1
L18A6S_L18A4,20260509,1
L18A6S_L18A5,20260509,1
L18A6S_L18A6,20260509,1
L18A6S_L18A1,20260516,1
L18A6S_L18A2,20260516,1
L18A6S_L18A3,20260516,1
L18A6S_L18A4,20260516,1
L18A6S_L18A5,20260516,1
L18A6S_L18A6,20260516,1
L18A6S_L18A1,20260523,1
L18A6S_L18A2,20260523,1
L18A6S_L18A3,20260523,1
L18A6S_L18A4,20260523,1
L18A6S_L18A5,20260523,1
L18A6S_L18A6,20260523,1
L18A6S_L18A1,20260530,1
L18A6S_L18A2,20260530,1
L18A6S_L18A3,20260530,1
L18A6S_L18A4,20260530,1
L18A6S_L18A5,20260530,1
L18A6S_L18A6,20260530,1
L18A6S_L18A1,20260606,1
L18A6S_L18A2,20260606,1
L18A6S_L18A3,20260606,1
L18A6S_L18A4,20260606,1
L18A6S_L18A5,20260606,1
L18A6S_L18A6,20260606,1
L18A6S_L18A1,20260613,1
L18A6S_L18A2,20260613,1
L18A6S_L18A3,20260613,1
L18A6S_L18A4,20260613,1
L18A6S_L18A5,20260613,1
L18A6S_L18A6,20260613,1
L18A6S_L18A1,20260620,1
L18A6S_L18A2,20260620,1
L18A6S_L18A3,20260620,1
L18A6S_L18A4,20260620,1
L18A6S_L18A5,20260620,1
L18A6S_L18A6,20260620,1
L19A3_L19A1,20260322,1
L19A3_L19A2,20260322,1
L19A3_L19A3,20260322,1
L19A3_L19A1,20260329,1
L19A3_L19A2,20260329,1
L19A3_L19A3,20260329,1
L19A3_L19A1,20260402,1
L19A3_L19A2,20260402,1
L19A3_L19A3,20260402,1
L19A3_L19A1,20260403,1
L19A3_L19A2,20260403,1
L19A3_L19A3,20260403,1
L19A3_L19A1,20260405,1
L19A3_L19A2,20260405,1
L19A3_L19A3,20260405,1
L19A3_L19A1,20260412,1
L19A3_L19A2,20260412,1
L19A3_L19A3,20260412,1
L19A3_L19A1,20260419,1
L19A3_L19A2,20260419,1
L19A3_L19A3,20260419,1
L19A3_L19A1,20260423,1
L19A3_L19A2,20260423,1
L19A3_L19A3,20260423,1
L19A3_L19A1,20260426,1
L19A3_L19A2,20260426,1
L19A3_L19A3,20260426,1
L19A3_L19A1,20260501,1
L19A3_L19A2,20260501,1
L19A3_L19A3,20260501,1
L19A3_L19A1,20260503,1
L19A3_L19A2,20260503,1
L19A3_L19A3,20260503,1
L19A3_L19A1,20260510,1
L19A3_L19A2,20260510,1
L19A3_L19A3,20260510,1
L19A3_L19A1,20260513,1
L19A3_L19A2,20260513,1
L19A3_L19A3,20260513,1
L19A3_L19A1,20260517,1
L19A3_L19A2,20260517,1
L19A3_L19A3,20260517,1
L19A3_L19A1,20260524,1
L19A3_L19A2,20260524,1
L19A3_L19A3,20260524,1
L19A3_L19A1,20260531,1
L19A3_L19A2,20260531,1
L19A3_L19A3,20260531,1
L19A3_L19A1,20260607,1
L19A3_L19A2,20260607,1
L19A3_L19A3,20260607,1
